Link;Preco;Endereco;Tipo;Area
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-centro-84m2-RS200000/id-3464242/;R$ 200.000;Rua Riachuelo, Centro, Teresina/PI;apartamento;84m² / 84m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-cidade-jardim-46m2-RS236000/id-12526201/;R$ 236.000;Avenida Doutor Josué De Moura Santos, Cidade Jardim, Teresina/PI;apartamento;46m² / 46m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-cidade-jardim-49m2-RS240000/id-26994801/;R$ 240.000;Rua Josué Moura Santos, 3150, Cidade Jardim, Teresina/PI;apartamento;49m² / 49m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-cidade-nova-46m2-RS180000/id-11697130/;R$ 180.000;Rua Venezuela, Cidade Nova, Teresina/PI;apartamento;46m² / 46m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-cidade-nova-48m2-RS150000/id-3464203/;R$ 150.000;Rua Chile, Cidade Nova, Teresina/PI;apartamento;48m² / 48m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-cidade-nova-58m2-RS170000/id-3464394/;R$ 170.000;Avenida Barão De Castelo Branco, Cidade Nova, Teresina/PI;apartamento;58m² / 58m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-colorado-66m2-RS160000/id-28960681/;R$ 160.000;Conjunto Residencial Colorado, Colorado, Teresina/PI;apartamento;66m² / 66m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-cristo-rei-44m2-RS230000/id-3464419/;R$ 230.000;Rua Colibri, Cristo Rei, Teresina/PI;apartamento;44m² / 44m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-cristo-rei-44m2-RS250000/id-11698171/;R$ 250.000;Rua Colibri, Cristo Rei, Teresina/PI;apartamento;44m² / 44m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-cristo-rei-46m2-RS160000/id-28960495/;R$ 160.000;Avenida Odilon Araújo, 2030, Cristo Rei, Teresina/PI;apartamento;46m² / 46m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-cristo-rei-57m2-RS300000/id-3464390/;R$ 300.000;Rua Colibri, Cristo Rei, Teresina/PI;apartamento;57m² / 57m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-cristo-rei-57m2-RS370001/id-3464159/;R$ 370.001;Rua Fotógrafo Costinha, Cristo Rei, Teresina/PI;apartamento;57m² / 57m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-cristo-rei-60m2-RS170000/id-26664692/;R$ 170.000;Conjunto João Emílio Falcão, Cristo Rei, Teresina/PI;apartamento;60m² / 60m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-cristo-rei-60m2-RS272000/id-25446927/;R$ 272.000;Avenida Abdias Neves, 2230, Cristo Rei, Teresina/PI;apartamento;60m² / 60m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-cristo-rei-60m2-RS290000/id-25817576/;R$ 290.000;Rua Celso Pinheiro, Cristo Rei, Teresina/PI;apartamento;60m² / 60m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-cristo-rei-61m2-RS260000/id-21047396/;R$ 260.000;Avenida Abdias Neves, Cristo Rei, Teresina/PI;apartamento;61m² / 61m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-cristo-rei-9280m2-RS325571/id-3464106/;R$ 325.571;Rua Canadá, Cristo Rei, Teresina/PI;apartamento;49m² / 9.280m²
